ncols       13
nrows       21
xllcorner          137.7188
yllcorner           34.725
cellsize             0.0625  0.05
NODATA_value       -999									
24.2	23.8	23.5	21	18.5	17.3	16.4	15.6	15.5	15.3	15	15.2	17.5
24.7	24.5	24.2	21.6	19	17.9	17.2	16.4	16.2	16	15.9	16.2	19.2
25.8	26.4	26.5	23.6	21.2	20.2	19.4	18	17.6	17.5	17.4	17.9	21.7
28	29.2	29.3	27	24.6	23.7	22.7	20.9	20.1	20.3	20.5	21	25.1
29.6	31.3	31.9	30.4	27.3	26.8	25.6	23.1	22.1	22.7	23.6	24.2	28.5
30.8	33.1	34.1	32.9	29.2	29.2	27.9	25.2	23.7	24.7	25.6	25.9	29.4
31.1	33.5	33.9	32.6	29.4	29.8	29	26.9	25.1	26.3	27.4	27.3	30.2
31.4	33.2	33.9	33.8	31.8	32.8	32.9	31.6	29.2	30.8	32.2	31.1	33
28.7	30.5	31.8	32.7	32.5	34.4	35	34.4	32.2	34.1	34.4	33	33.8
26.2	28.2	30	31.2	32.5	34.8	36	36.3	35.1	36.4	36.2	34.1	34.8
23.5	25.9	28.2	30.1	32.9	36	37.7	38.2	36.9	37.9	37.5	35.2	35.7
20.5	22.9	25.4	28	31	33.7	35	35.2	33.8	34.1	33.3	31.6	31.3
17.7	20	22.1	24.3	27	28.8	29.9	30.3	30.1	30.7	30.9	28.9	27.7
14.1	15.8	17.2	19.2	21	22.3	22.7	23.7	25.3	25.8	26	24.9	23.9
10.7	11.5	12.1	13.5	14.8	15.5	15.5	16.5	18	18	18.7	17.9	16.9
7.6	7.9	8.6	9.3	9.7	10	10.7	11.2	12.1	11.8	12.4	11	9.7
4.8	4.9	5.5	6	6.3	6.6	7.2	7.4	7.8	7.5	7.4	6	5
3.8	4	4.6	4.9	5.2	5.2	5.4	5.1	5.1	4.5	4	2.8	2.4
2.9	3.1	3.6	3.7	3.7	3.7	3.7	3.3	3.2	2.6	2	1.3	1.1
1.4	1.5	1.7	1.8	1.7	1.6	1.6	1.5	1.4	0.9	0.7	0.5	0.5
0.5	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.4	0.3	0.3	0.3	0.3

